============================================================
FINDY — Procesador FINAL v5 (vectorizado)
============================================================

📂 2013 archivos encontrados

⚙️  Leyendo archivos...
  [37/2013] ✅ REPSOL OFI 365 10K PARTE 2 08-10-24.xlsx: 9,999 filas (acum: 9,999)
  [38/2013] ✅ REPSOL OFI 736 10K PARTE 1 08-10-24.xlsx: 9,999 filas (acum: 19,998)
  [39/2013] ✅ REPSOL OFI EXTERNO 10K PARTE 3 08-10-24.xlsx: 9,999 filas (acum: 29,997)
  [40/2013] ✅ BASE COSMOS PRUEBA 1000 CLIENTES OFI 736 17-09-24 PARTE 1.xlsx: 928 filas (acum: 30,925)
  [41/2013] ✅ ALUMBRA ENERGIA 22-10-25 300 CLIENTES CUENTAS 22-10-25 PARTE 9.xlsx: 379 filas (acum: 31,304)
  [42/2013] ✅ 100k luz y gas.xlsx: 49,999 filas (acum: 81,303)
  [43/2013] ✅ 106K ENERGIA DUAL CON CUENTA.xlsx: 49,127 filas (acum: 130,430)
  [44/2013] ✅ 113.000 K 15 - OCT.xlsx: 50,000 filas (acum: 180,430)
  [45/2013] ✅ 114k 15 OCT.xlsx: 50,000 filas (acum: 230,430)
  [47/2013] ✅ 50KJORGEH.xlsx: 25,878 filas (acum: 256,308)
  [49/2013] ✅ BASE COMPLETA JHON 200k (002).xlsx: 50,000 filas (acum: 306,308)
  [50/2013] ✅ BBDD COLOMBI PARTE 3 20K 06-12-23.xlsx: 20,000 filas (acum: 326,308)
  [51/2013] ✅ BBDD COLOMBI PARTE 4 20K 06-12-23.xlsx: 20,000 filas (acum: 346,308)
  [52/2013] ✅ BBDD COLOMBI PARTE 5 20K 06-12-23.xlsx: 20,000 filas (acum: 366,308)
  [53/2013] ✅ Cartera.xlsx: 37,925 filas (acum: 404,233)
  [55/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 3.xlsx: 9,888 filas (acum: 414,121)
  [56/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 4.xlsx: 9,897 filas (acum: 424,018)
  [57/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 5.xlsx: 9,901 filas (acum: 433,919)
  [58/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 6.xlsx: 9,916 filas (acum: 443,835)
  [59/2013] ✅ JESUS LIMA 10K 07-01-25 PARTE 7.xlsx: 15,589 filas (acum: 459,424)
  [60/2013] ✅ JESUS LIMA 7K 07-01-25 PARTE 1.xlsx: 7,386 filas (acum: 466,810)
  [61/2013] ✅ JESUS LIMA 7K 07-01-25 PARTE 2.xlsx: 6,999 filas (acum: 473,809)
  [65/2013] ✅ NATURGY IBERDROLA enrgia cusp iban 14K.xlsx: 14,385 filas (acum: 488,194)
  [66/2013] ✅ bbdd 376k colombi en NETO para CARGAR.xlsx: 50,000 filas (acum: 538,194)
  [67/2013] ✅ jhon pbr.xlsx: 50,000 filas (acum: 588,194)
  [68/2013] ✅ muestra 1 energia.xlsx: 99 filas (acum: 588,293)
  [70/2013] ✅ BBDD ANGEL 30K PARTE 1 14-06-24.xlsx: 29,999 filas (acum: 618,292)
  [71/2013] ✅ BBDD ANGEL 30K PARTE 2 14-06-24.xlsx: 29,999 filas (acum: 648,291)
  [72/2013] ✅ BBDD ANGEL 30K PARTE 3 14-06-24.xlsx: 29,999 filas (acum: 678,290)
  [73/2013] ✅ BBDD ANGEL 30K PARTE 4 14-06-24.xlsx: 29,999 filas (acum: 708,289)
  [74/2013] ✅ BBDD ANGEL 30K PARTE 5 14-06-24.xlsx: 34,999 filas (acum: 743,288)
  [75/2013] ✅ BBDD ANGEL 44K PARTE 6 14-06-24.xlsx: 44,349 filas (acum: 787,637)
  [76/2013] ✅ bbdd ANGEL 18-06-24 parte 1 25K.xlsx: 24,999 filas (acum: 812,636)
  [78/2013] ✅ BASE ELIZABETH CUENTAS 18K OFI EXTERNO 08-09-24 PARTE 6.xlsx: 18,557 filas (acum: 831,193)
  [79/2013] ✅ BASE ELIZABETH CUENTAS 24K OFI EXTERNO 08-09-24 PARTE 3.xlsx: 23,972 filas (acum: 855,165)
  [80/2013] ✅ BASE ELIZABETH CUENTAS 30K OFI 365 08-09-24 PARTE 2.xlsx: 29,999 filas (acum: 885,164)
  [81/2013] ✅ BASE ELIZABETH CUENTAS 30K OFI 736 08-09-24 PARTE 1.xlsx: 29,999 filas (acum: 915,163)
  [82/2013] ✅ BASE ELIZABETH CUENTAS 50K OFI 365 08-09-24 PARTE 5.xlsx: 49,998 filas (acum: 965,161)
  [121/2013] ✅ 1000k.xlsx: 999 filas (acum: 1,352,357)
  [123/2013] ✅ 100K ENERGIA.xlsx: 50,000 filas (acum: 1,402,357)
  [125/2013] ✅ 100K LIZ SIN CARGAR.xlsx: 49,999 filas (acum: 1,452,356)
  [126/2013] ✅ 100k (1).xlsx: 50,000 filas (acum: 1,502,356)
  [127/2013] ✅ 100k.xlsx: 50,000 filas (acum: 1,552,356)
  [128/2013] ✅ 105k con cuenta.xlsx: 50,000 filas (acum: 1,602,356)
  [129/2013] ✅ 106K ENERGIA DUAL CON CUENTA.xlsx: 49,127 filas (acum: 1,651,483)
  [130/2013] ✅ 108k.xlsx: 50,000 filas (acum: 1,701,483)
  [131/2013] ✅ 109K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 1,751,483)
  [132/2013] ✅ 109K ENERGIA.xlsx: 50,000 filas (acum: 1,801,483)
  [133/2013] ✅ 109k (1).xlsx: 50,000 filas (acum: 1,851,483)
  [134/2013] ✅ 109k.xlsx: 50,000 filas (acum: 1,901,483)
  [135/2013] ✅ 10K GAS Y LUZ.xlsx: 10,735 filas (acum: 1,912,218)
  [136/2013] ✅ 10k (1).xlsx: 9,999 filas (acum: 1,922,217)
  [137/2013] ✅ 10k (2).xlsx: 10,271 filas (acum: 1,932,488)
  [138/2013] ✅ 10k (3).xlsx: 10,271 filas (acum: 1,942,759)
  [140/2013] ✅ 10k duales.xlsx: 10,005 filas (acum: 1,952,764)
  [141/2013] ✅ 10k.xlsx: 9,999 filas (acum: 1,962,763)
  [142/2013] ✅ 10kjhon.xlsx: 10,057 filas (acum: 1,972,820)
  [143/2013] ✅ 10kmuestra3.xlsx: 10,134 filas (acum: 1,982,954)
  [144/2013] ✅ 110K LIZ SIN CARGAR.xlsx: 49,999 filas (acum: 2,032,953)
  [145/2013] ✅ 111K ANGEL_limpio.xlsx: 50,000 filas (acum: 2,082,953)
  [146/2013] ✅ 111K ENERGIA.xlsx: 50,000 filas (acum: 2,132,953)
  [147/2013] ✅ 113K.xlsx: 50,000 filas (acum: 2,182,953)
  [148/2013] ✅ 119.421k.xlsx: 50,000 filas (acum: 2,232,953)
  [149/2013] ✅ 12000(CARGADA).xlsx: 11,805 filas (acum: 2,244,758)
  [150/2013] ✅ 120K 15 NOV.xlsx: 31,726 filas (acum: 2,276,484)
  [151/2013] ✅ 125k POR CARGAR PARA POWER 03-09-25.xlsx: 50,000 filas (acum: 2,326,484)
  [152/2013] ✅ 13,7.K(CARGADA).xlsx: 13,760 filas (acum: 2,340,244)
  [153/2013] ✅ 130k_john_281024.xlsx: 50,000 filas (acum: 2,390,244)
  [155/2013] ✅ 14000(CARGADA).xlsx: 13,901 filas (acum: 2,404,145)
  [156/2013] ✅ 140K ENERGIA.xlsx: 50,000 filas (acum: 2,454,145)
  [157/2013] ✅ 140k POR CARGAR PARA POWER 28-07-25.xlsx: 50,000 filas (acum: 2,504,145)
  [158/2013] ✅ 145k POR CARGAR PARA POWER.xlsx: 50,000 filas (acum: 2,554,145)
  [159/2013] ✅ 15.k(CARGADO).xlsx: 14,925 filas (acum: 2,569,070)
  [160/2013] ✅ 150K SIN CARGAR.xlsx: 50,000 filas (acum: 2,619,070)
  [162/2013] ✅ 150kJUN18.xlsx: 50,000 filas (acum: 2,669,070)
  [163/2013] ✅ 155k POR CARGAR PARA POWER.xlsx: 50,000 filas (acum: 2,719,070)
  [164/2013] ✅ 159K OCT - 23.xlsx: 47,460 filas (acum: 2,766,530)
  [165/2013] ✅ 15k bbdd powerbrands 20-03-25 parte 2.xlsx: 15,000 filas (acum: 2,781,530)
  [166/2013] ✅ 160k POR CARGAR PARA POWER.xlsx: 50,000 filas (acum: 2,831,530)
  [167/2013] ✅ 17200 CARGADA.xlsx: 17,199 filas (acum: 2,848,729)
  [168/2013] ✅ 178K ENERGIA 23-10.xlsx: 50,000 filas (acum: 2,898,729)
  [169/2013] ✅ 178K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 2,948,729)
  [170/2013] ✅ 180K.xlsx: 50,000 filas (acum: 2,998,729)
  [171/2013] ✅ 1900(CARGADA).xlsx: 1,960 filas (acum: 3,000,689)
  [173/2013] ✅ 192k.xlsx: 50,000 filas (acum: 3,050,689)
  [174/2013] ✅ 19K ENERGIA 31.01 (1).xlsx: 19,475 filas (acum: 3,070,164)
  [175/2013] ✅ 19k 25102022.xlsx: 19,000 filas (acum: 3,089,164)
  [176/2013] ✅ 1Q.02 ENERGY GOLD (1).xlsx: 281 filas (acum: 3,089,445)
  [177/2013] ✅ 1Q.02 ENERGY GOLD.xlsx: 281 filas (acum: 3,089,726)
  [178/2013] ✅ 1Qº DIC. ENERGY GOLD.xlsx: 66 filas (acum: 3,089,792)
  [181/2013] ✅ 20000 1 (1).xlsx: 20,000 filas (acum: 3,109,792)
  [182/2013] ✅ 20000 1.xlsx: 20,000 filas (acum: 3,129,792)
  [183/2013] ✅ 200K (1).xlsx: 50,000 filas (acum: 3,179,792)
  [184/2013] ✅ 200K (2).xlsx: 50,000 filas (acum: 3,229,792)
  [185/2013] ✅ 200K (4).xlsx: 50,000 filas (acum: 3,279,792)
  [186/2013] ✅ 200K JHON.xlsx: 50,000 filas (acum: 3,329,792)
  [187/2013] ✅ 200K-1.xlsx: 50,000 filas (acum: 3,379,792)
  [188/2013] ✅ 200K.xlsx: 50,000 filas (acum: 3,429,792)
  [189/2013] ✅ 20240911_ventasKAIZEN.xlsx: 3,770 filas (acum: 3,433,562)
  [190/2013] ✅ 20240913_ventasSILVANERGIA_SL_ENGEL.xlsx: 7,993 filas (acum: 3,441,555)
  [191/2013] ✅ 20240925_ventasENGELCENTER03.xlsx: 7,993 filas (acum: 3,449,548)
  [192/2013] ✅ 20241015_ENGELCENTER02.xlsx: 89 filas (acum: 3,449,637)
  [193/2013] ✅ 20241015_ventasENGELCENTER04.xlsx: 2,163 filas (acum: 3,451,800)
  [194/2013] ✅ 20241015_ventasENGELCENTER05.xlsx: 733 filas (acum: 3,452,533)
  [195/2013] ✅ 20241016_ventasENGELCENTER03.xlsx: 1,866 filas (acum: 3,454,399)
  [196/2013] ✅ 20241016_ventasENGELCENTER04.xlsx: 2,119 filas (acum: 3,456,518)
  [197/2013] ✅ 20241025_ENGELCENTER02.xlsx: 171 filas (acum: 3,456,689)
  [200/2013] ✅ 209K ENERGIA RECLAMOS.xlsx: 50,000 filas (acum: 3,506,689)
Traceback (most recent call last):
  File "/Users/john/PROYECTOS_ANTIGRAVITY/findy-buscador/scripts/procesar_final.py", line 150, in <module>
    df = leer_archivo(path)
  File "/Users/john/PROYECTOS_ANTIGRAVITY/findy-buscador/scripts/procesar_final.py", line 92, in leer_archivo
    df_out['datos_extra'] = df[extras].apply(make_extra, axis=1)
  File "/Users/john/Library/Python/3.9/lib/python/site-packages/pandas/core/frame.py", line 10401, in apply
    return op.apply().__finalize__(self, method="apply")
  File "/Users/john/Library/Python/3.9/lib/python/site-packages/pandas/core/apply.py", line 916, in apply
    return self.apply_standard()
  File "/Users/john/Library/Python/3.9/lib/python/site-packages/pandas/core/apply.py", line 1063, in apply_standard
    results, res_index = self.apply_series_generator()
  File "/Users/john/Library/Python/3.9/lib/python/site-packages/pandas/core/apply.py", line 1081, in apply_series_generator
    results[i] = self.func(v, *self.args, **self.kwargs)
  File "/Users/john/PROYECTOS_ANTIGRAVITY/findy-buscador/scripts/procesar_final.py", line 85, in make_extra
    cl = c.lower().replace(' ','')
AttributeError: 'int' object has no attribute 'lower'
